"","Year2","runname","meandaily"
"1",2004,"Fall.Chinook.Passage.Estimate",71277.4230769231
"2",2004,"Late.Fall.Chinook.Passage.Estimate",6465.16666666667
"3",2004,"Spring.Chinook.Passage.Estimate",1087.38461538462
"4",2004,"Winter.Chinook.Passage.Estimate",500.782051282051
"5",2005,"Fall.Chinook.Passage.Estimate",94201.78
"6",2005,"Late.Fall.Chinook.Passage.Estimate",109.08
"7",2005,"Spring.Chinook.Passage.Estimate",3879.12
"8",2005,"Winter.Chinook.Passage.Estimate",2465.44
"9",2006,"Fall.Chinook.Passage.Estimate",106269.012195122
"10",2006,"Late.Fall.Chinook.Passage.Estimate",151.926829268293
"11",2006,"Spring.Chinook.Passage.Estimate",646.560975609756
"12",2006,"Winter.Chinook.Passage.Estimate",3427
"13",2007,"Fall.Chinook.Passage.Estimate",100436.926829268
"14",2007,"Late.Fall.Chinook.Passage.Estimate",140.30487804878
"15",2007,"Spring.Chinook.Passage.Estimate",3801.80487804878
"16",2007,"Winter.Chinook.Passage.Estimate",1115.92682926829
"17",2008,"Fall.Chinook.Passage.Estimate",61478.7558139535
"18",2008,"Late.Fall.Chinook.Passage.Estimate",68.6860465116279
"19",2008,"Spring.Chinook.Passage.Estimate",363.546511627907
"20",2008,"Winter.Chinook.Passage.Estimate",496.43023255814
"21",2009,"Fall.Chinook.Passage.Estimate",64002.0847457627
"22",2009,"Late.Fall.Chinook.Passage.Estimate",207.033898305085
"23",2009,"Spring.Chinook.Passage.Estimate",2843.91525423729
"24",2009,"Winter.Chinook.Passage.Estimate",1345.59322033898
"25",2010,"Fall.Chinook.Passage.Estimate",61652.3333333333
"26",2010,"Late.Fall.Chinook.Passage.Estimate",61.8205128205128
"27",2010,"Spring.Chinook.Passage.Estimate",522.846153846154
"28",2010,"Winter.Chinook.Passage.Estimate",885.230769230769
"29",2011,"Fall.Chinook.Passage.Estimate",28347.5526315789
"30",2011,"Late.Fall.Chinook.Passage.Estimate",60.0394736842105
"31",2011,"Spring.Chinook.Passage.Estimate",179.065789473684
"32",2011,"Winter.Chinook.Passage.Estimate",940.618421052632
"33",2012,"Fall.Chinook.Passage.Estimate",249261.294871795
"34",2012,"Late.Fall.Chinook.Passage.Estimate",131.717948717949
"35",2012,"Spring.Chinook.Passage.Estimate",247.051282051282
"36",2012,"Winter.Chinook.Passage.Estimate",838.384615384615
"37",2013,"Fall.Chinook.Passage.Estimate",260586.933333333
"38",2013,"Late.Fall.Chinook.Passage.Estimate",536.706666666667
"39",2013,"Spring.Chinook.Passage.Estimate",2457.05333333333
"40",2013,"Winter.Chinook.Passage.Estimate",4151.96
"41",2014,"Fall.Chinook.Passage.Estimate",28756.8775510204
"42",2014,"Late.Fall.Chinook.Passage.Estimate",128.183673469388
"43",2014,"Spring.Chinook.Passage.Estimate",128.714285714286
"44",2014,"Winter.Chinook.Passage.Estimate",271.285714285714
"45",2015,"Fall.Chinook.Passage.Estimate",102640.676470588
"46",2015,"Late.Fall.Chinook.Passage.Estimate",356.323529411765
"47",2015,"Spring.Chinook.Passage.Estimate",1005.57352941176
"48",2015,"Winter.Chinook.Passage.Estimate",807.264705882353
"49",2016,"Fall.Chinook.Passage.Estimate",54351.9714285714
"50",2016,"Late.Fall.Chinook.Passage.Estimate",81.6
"51",2016,"Spring.Chinook.Passage.Estimate",247.8
"52",2016,"Winter.Chinook.Passage.Estimate",361.942857142857
"53",2017,"Fall.Chinook.Passage.Estimate",2588.87654320988
"54",2017,"Late.Fall.Chinook.Passage.Estimate",29.4320987654321
"55",2017,"Spring.Chinook.Passage.Estimate",144.061728395062
"56",2017,"Winter.Chinook.Passage.Estimate",424.320987654321
